[2026-06-17 13:48:36] [DRONE] TEXT: "That's how I like it." | INTENT: GET_ALTITUDE | CONF: 0.85 | STATUS: ALT_QUERY_-0.1m
[2026-06-18 13:31:19] [DRONE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: ROTATE_RIGHT_90.0DEG
[2026-06-18 13:31:30] [DRONE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: ROTATE_RIGHT_90.0DEG
[2026-06-18 13:31:43] [DRONE] TEXT: "move backword" | INTENT: MOVE_BACKWARD | CONF: 0.92 | STATUS: BACKWARD_2.0S
[2026-06-18 13:31:56] [DRONE] TEXT: "move backword" | INTENT: MOVE_BACKWARD | CONF: 0.92 | STATUS: BACKWARD_2.0S
[2026-06-18 13:32:06] [DRONE] TEXT: "rotate left" | INTENT: ROTATE_LEFT | CONF: 1.00 | STATUS: ROTATE_LEFT_90.0DEG
[2026-06-18 13:32:16] [DRONE] TEXT: "rotate left" | INTENT: ROTATE_LEFT | CONF: 1.00 | STATUS: ROTATE_LEFT_90.0DEG
[2026-06-18 13:32:27] [DRONE] TEXT: "rotate left" | INTENT: ROTATE_LEFT | CONF: 1.00 | STATUS: ROTATE_LEFT_90.0DEG
[2026-06-18 13:32:39] [DRONE] TEXT: "move backword" | INTENT: MOVE_BACKWARD | CONF: 0.92 | STATUS: BACKWARD_2.0S
[2026-06-18 13:33:00] [DRONE] TEXT: "come back home" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-18 13:35:35] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-18 13:36:42] [PLANE] TEXT: "retrun to home" | INTENT: RTL | CONF: 0.85 | STATUS: MODE_RTL
[2026-06-18 13:37:10] [PLANE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-19 10:52:47] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 10:53:38] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 10:53:46] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 10:53:57] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 10:54:03] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 10:54:09] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 10:54:19] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 10:54:28] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 10:54:33] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 10:54:42] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 10:54:52] [PLANE] TEXT: "trun right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: UNHANDLED_INTENT
[2026-06-19 10:55:15] [PLANE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-19 10:55:22] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 11:03:23] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 11:06:31] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 11:06:38] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 11:07:13] [PLANE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-19 11:07:40] [PLANE] TEXT: "manual" | INTENT: SET_FBWA | CONF: 0.90 | STATUS: MODE_FBWA
[2026-06-19 11:09:01] [PLANE] TEXT: "fbwa" | INTENT: SET_FBWA | CONF: 1.00 | STATUS: MODE_FBWA
[2026-06-19 11:09:25] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 11:40:56] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 11:41:02] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 11:41:17] [PLANE] TEXT: "turn right" | INTENT: TURN_RIGHT | CONF: 1.00 | STATUS: TURN_RIGHT_BANK
[2026-06-19 11:41:32] [PLANE] TEXT: "circle" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-19 11:42:02] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO
[2026-06-19 11:42:12] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO
[2026-06-19 11:42:23] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 11:42:32] [PLANE] TEXT: "manual" | INTENT: SET_FBWA | CONF: 0.90 | STATUS: MODE_FBWA
[2026-06-19 11:42:44] [PLANE] TEXT: "manual" | INTENT: SET_FBWA | CONF: 0.90 | STATUS: MODE_FBWA
[2026-06-19 11:42:49] [PLANE] TEXT: "diarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 11:42:59] [PLANE] TEXT: "rt" | INTENT: TAKEOFF | CONF: 0.90 | STATUS: TAKEOFF_FAILED
[2026-06-19 11:43:13] [PLANE] TEXT: "rtl" | INTENT: RTL | CONF: 1.00 | STATUS: MODE_RTL
[2026-06-19 11:44:05] [PLANE] TEXT: "manual" | INTENT: SET_FBWA | CONF: 0.90 | STATUS: MODE_FBWA
[2026-06-19 11:45:13] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 11:54:32] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 11:54:37] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 11:54:47] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO
[2026-06-19 11:59:30] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO_ACTIVATED
[2026-06-19 12:00:24] [PLANE] TEXT: "manual" | INTENT: SET_FBWA | CONF: 0.90 | STATUS: MODE_FBWA
[2026-06-19 13:08:09] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 13:08:12] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 13:08:17] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO_ACTIVATED
[2026-06-19 13:35:59] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 13:36:05] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 13:40:13] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 13:40:16] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 13:40:42] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: AUTO_MODE_CHANGE_FAILED
[2026-06-19 13:41:31] [PLANE] TEXT: "manual" | INTENT: SET_FBWA | CONF: 0.90 | STATUS: MODE_FBWA
[2026-06-19 13:41:35] [PLANE] TEXT: "circle" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-19 13:41:48] [PLANE] TEXT: "strat mission" | INTENT: SET_AUTO | CONF: 0.92 | STATUS: AUTO_MODE_CHANGE_FAILED
[2026-06-19 13:42:31] [PLANE] TEXT: "manual" | INTENT: SET_FBWA | CONF: 0.90 | STATUS: MODE_FBWA
[2026-06-19 13:42:46] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 13:59:11] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 13:59:14] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 13:59:22] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: AUTO_REJECTED_NO_MISSION
[2026-06-19 13:59:34] [PLANE] TEXT: "rotate right" | INTENT: ROTATE_RIGHT | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-19 13:59:38] [PLANE] TEXT: "circle" | INTENT: LOITER | CONF: 1.00 | STATUS: MODE_LOITER
[2026-06-19 14:01:56] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 14:02:17] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:02:35] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:02:42] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:24:19] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 14:24:22] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 14:24:30] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: AUTO_REJECTED_NO_MISSION
[2026-06-19 14:24:43] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 14:25:24] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:25:32] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:25:41] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:25:50] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:32:08] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:32:56] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:33:03] [PLANE] TEXT: "disarm" | INTENT: ARM | CONF: 0.90 | STATUS: ARMED
[2026-06-19 14:33:24] [PLANE] TEXT: "disarm" | INTENT: DISARM | CONF: 1.00 | STATUS: DISARM_FAILED
[2026-06-19 14:33:55] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 14:34:03] [PLANE] TEXT: "fbwa" | INTENT: SET_FBWA | CONF: 1.00 | STATUS: MODE_FBWA
[2026-06-19 14:34:13] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 14:35:24] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO_ACTIVATED
[2026-06-19 14:37:13] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 14:44:38] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 14:44:48] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 14:44:57] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO_ACTIVATED
[2026-06-19 14:59:53] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 14:59:59] [PLANE] TEXT: "fwba" | INTENT: SET_FBWA | CONF: 0.75 | STATUS: MODE_FBWA
[2026-06-19 15:00:09] [PLANE] TEXT: "maual" | INTENT: SET_MANUAL | CONF: 0.91 | STATUS: MODE_MANUAL
[2026-06-19 15:01:07] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:03:24] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:03:57] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:04:44] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARM_FAILED
[2026-06-19 15:07:51] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:12:03] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: AUTO-ARMING BEFORE TAKEOFF
[2026-06-19 15:12:07] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:12:58] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 15:14:39] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: AUTO-ARMING BEFORE TAKEOFF
[2026-06-19 15:14:43] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:14:58] [PLANE] TEXT: "start mission" | INTENT: SET_AUTO | CONF: 1.00 | STATUS: MODE_AUTO_ACTIVATED
[2026-06-19 15:16:31] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 15:17:39] [PLANE] TEXT: "disarm" | INTENT: DISARM | CONF: 1.00 | STATUS: DISARM_FAILED
[2026-06-19 15:17:50] [PLANE] TEXT: "disarm" | INTENT: DISARM | CONF: 1.00 | STATUS: DISARM_FAILED
[2026-06-19 15:25:48] [PLANE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 15:26:01] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:26:33] [PLANE] TEXT: "maual" | INTENT: SET_MANUAL | CONF: 0.91 | STATUS: MODE_MANUAL
[2026-06-19 15:29:53] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:30:00] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 15:30:18] [PLANE] TEXT: "fwba" | INTENT: SET_FBWA | CONF: 0.75 | STATUS: MODE_FBWA
[2026-06-19 15:36:39] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: AUTO-ARMING BEFORE TAKEOFF
[2026-06-19 15:36:42] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:36:54] [PLANE] TEXT: "mission start" | INTENT: SET_AUTO | CONF: 0.95 | STATUS: MODE_AUTO_ACTIVATED
[2026-06-19 15:40:10] [PLANE] TEXT: "fwba" | INTENT: SET_FBWA | CONF: 0.75 | STATUS: MODE_FBWA
[2026-06-19 15:40:36] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 15:41:17] [PLANE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:41:22] [PLANE] TEXT: "manual" | INTENT: SET_MANUAL | CONF: 1.00 | STATUS: MODE_MANUAL
[2026-06-19 15:42:03] [PLANE] TEXT: "disarm" | INTENT: DISARM | CONF: 1.00 | STATUS: DISARMED
[2026-06-19 15:46:44] [PLANE] TEXT: "Here." | INTENT: LOITER | CONF: 0.80 | STATUS: MODE_LOITER
[2026-06-19 15:46:52] [PLANE] TEXT: "Take off." | INTENT: TAKEOFF | CONF: 0.94 | STATUS: AUTO-ARMING BEFORE TAKEOFF
[2026-06-19 15:46:55] [PLANE] TEXT: "Take off." | INTENT: TAKEOFF | CONF: 0.94 | STATUS: TAKEOFF_FAILED
[2026-06-19 15:57:49] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 15:57:58] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-19 15:58:15] [DRONE] TEXT: "mmove rimove right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: RIGHT_2.0S
[2026-06-19 15:58:24] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-19 15:59:01] [DRONE] TEXT: "move forward 20" | INTENT: MOVE_FORWARD | CONF: 0.95 | STATUS: FORWARD_20.0S
[2026-06-19 16:05:17] [DRONE] TEXT: "arm" | INTENT: ARM | CONF: 1.00 | STATUS: ARMED
[2026-06-19 16:05:25] [DRONE] TEXT: "take off" | INTENT: TAKEOFF | CONF: 1.00 | STATUS: TAKEOFF_COMPLETE_ALT_5.0
[2026-06-19 16:05:35] [DRONE] TEXT: "move move right" | INTENT: MOVE_RIGHT | CONF: 0.90 | STATUS: RIGHT_2.0S
[2026-06-19 16:05:43] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-19 16:06:08] [DRONE] TEXT: "move left" | INTENT: MOVE_LEFT | CONF: 1.00 | STATUS: LEFT_2.0S
[2026-06-19 16:06:25] [DRONE] TEXT: "rotate left" | INTENT: ROTATE_LEFT | CONF: 1.00 | STATUS: ROTATE_LEFT_90.0DEG
[2026-06-19 16:06:34] [DRONE] TEXT: "turn left" | INTENT: TURN_LEFT | CONF: 1.00 | STATUS: UNHANDLED_INTENT
[2026-06-19 16:06:43] [DRONE] TEXT: "rotate left" | INTENT: ROTATE_LEFT | CONF: 1.00 | STATUS: ROTATE_LEFT_90.0DEG
[2026-06-19 16:06:55] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
[2026-06-19 16:07:08] [DRONE] TEXT: "move forward" | INTENT: MOVE_FORWARD | CONF: 1.00 | STATUS: FORWARD_2.0S
